Tissue,Expt,Treatment,Sample ID,rpl18 Cq,hsp70 Cq,DeltaCq,meanCtrlDeltaCq,DeltaDeltaCq,FoldChange
MT,Heat,HSR24,HS24-MT1,27.855,26.98666667,-0.868333333,-1.367222222,0.498888889,0.707651579
MT,Heat,HSR24,HS24-MT2,28.34,26.93,-1.41,-1.367222222,-0.042777778,1.030095273
MT,Heat,HSR24,HS24-MT3,23.63,22.57333333,-1.056666667,-1.367222222,0.310555556,0.806331196
MT,Heat,HSR24,HS24-MT4,23.38333333,22.01,-1.373333333,-1.367222222,-0.006111111,1.004244884
MT,Heat,HSR24,HS24-MT7,27.27,25.33,-1.94,-1.367222222,-0.572777778,1.487384639
MT,Heat,HSR24,HS24-MT9,25.27,23.32666667,-1.943333333,-1.367222222,-0.576111111,1.4908252
M,Heat,HSCtrl,HSCtrl-M3,28.16333333,27.225,-0.938333333,0.435,-1.373333333,2.590684504
M,Heat,HSCtrl,HSCtrl-M4,29.06333333,29.38666667,0.323333333,0.435,-0.111666667,1.08047573
M,Heat,HSCtrl,HSCtrl-M5,27.20666667,26.09,-1.116666667,0.435,-1.551666667,2.931556103
M,Heat,HSCtrl,HSCtrl-M6,24.05,25.47,1.42,0.435,0.985,0.505225723
M,Heat,HSCtrl,HSCtrl-M7,25.87,27.58,1.71,0.435,1.275,0.413225159
M,Heat,HSCtrl,HSCtrl-M8,23.91,24.85,0.94,0.435,0.505,0.704660378
M,Heat,HSCtrl,HSCtrl-M9,23.39666667,24.10333333,0.706666667,0.435,0.271666667,0.828362031
M,Heat,HSR2,HS2-M1,22.495,21.38,-1.115,0.435,-1.55,2.928171392
M,Heat,HSR2,HS2-M2,25.31,22.56333333,-2.746666667,0.435,-3.181666667,9.073547203
M,Heat,HSR2,HS2-M3,25.09,22.6,-2.49,0.435,-2.925,7.594736968
M,Heat,HSR2,HS2-M4,24.09,21.05,-3.04,0.435,-3.475,11.11934576
M,Heat,HSR2,HS2-M6,25.13666667,23.14666667,-1.99,0.435,-2.425,5.370290011
M,Heat,HSR2,HS2-M7,23.90333333,22.05666667,-1.846666667,0.435,-2.281666667,4.862393551
M,Heat,HSR2,HS2-M8,21.81,20.09333333,-1.716666667,0.435,-2.151666667,4.443408151
M,Heat,HSR2,HS2-M9,25.14333333,22.84666667,-2.296666667,0.435,-2.731666667,6.642225335
M,Heat,HSR24,HS24-M1,30.985,27.80666667,-3.178333333,0.435,-3.613333333,12.23831755
M,Heat,HSR24,HS24-M2,25.62,22.88333333,-2.736666667,0.435,-3.171666667,9.010871634
M,Heat,HSR24,HS24-M3,26.32333333,24.11333333,-2.21,0.435,-2.645,6.254957145
M,Heat,HSR24,HS24-M4,23.26,21.06,-2.2,0.435,-2.635,6.211751
M,Heat,HSR24,HS24-M6,27.12666667,24.12666667,-3,0.435,-3.435,10.81528666
M,Heat,HSR24,HS24-M7,25.61666667,22.55666667,-3.06,0.435,-3.495,11.27456604
M,Heat,HSR24,HS24-M8,24.67666667,21.98666667,-2.69,0.435,-3.125,8.724061861
M,Heat,HSR24,HS24-M9,22.61333333,19.88666667,-2.726666667,0.435,-3.161666667,8.948628997
NT,Heat,HSCtrl,HSCtrl-NT2,30.555,31.225,0.67,0.419583333,0.250416667,0.84065359
NT,Heat,HSCtrl,HSCtrl-NT7,23.68333333,24.16666667,0.483333333,0.419583333,0.06375,0.95677394
NT,Heat,HSCtrl,HSCtrl-NT8,27.31333333,27.145,-0.168333333,0.419583333,-0.587916667,1.503074655
NT,Heat,HSCtrl,HSCtrl-NT9,24.41333333,25.10666667,0.693333333,0.419583333,0.27375,0.827166693
NT,Heat,HSR2,HS2-NT3,25.255,23.18666667,-2.068333333,0.419583333,-2.487916667,5.609672966
NT,Heat,HSR2,HS2-NT4,24.76666667,22.575,-2.191666667,0.419583333,-2.61125,6.110328739
NT,Heat,HSR2,HS2-NT5,28.21666667,25.725,-2.491666667,0.419583333,-2.91125,7.522697091
NT,Heat,HSR2,HS2-NT7,24.64,22.06333333,-2.576666667,0.419583333,-2.99625,7.979232587
NT,Heat,HSR2,HS2-NT8,23.15666667,20.82,-2.336666667,0.419583333,-2.75625,6.756377789
NT,Heat,HSR2,HS2-NT9,23.19,21.18666667,-2.003333333,0.419583333,-2.422916667,5.362540605
NT,Heat,HSR24,HS24-NT1,25.80333333,24.91333333,-0.89,0.419583333,-1.309583333,2.47869942
NT,Heat,HSR24,HS24-NT2,24.33,23.54,-0.79,0.419583333,-1.209583333,2.312708335
NT,Heat,HSR24,HS24-NT3,24.68,24.03,-0.65,0.419583333,-1.069583333,2.098827115
NT,Heat,HSR24,HS24-NT4,23.97666667,22.33,-1.646666667,0.419583333,-2.06625,4.187966784
NT,Heat,HSR24,HS24-NT5,27.66,25.06333333,-2.596666667,0.419583333,-3.01625,8.090618523
NT,Heat,HSR24,HS24-NT6,29.03,26.79666667,-2.233333333,0.419583333,-2.652916667,6.289375038
NT,Heat,HSR24,HS24-NT7,24.98,23.97666667,-1.003333333,0.419583333,-1.422916667,2.681270302
NT,Heat,HSR24,HS24-NT8,27.15333333,25.99,-1.163333333,0.419583333,-1.582916667,2.995748823
NT,Heat,HSR24,HS24-NT9,23.59333333,22.00333333,-1.59,0.419583333,-2.009583333,4.026659088
